Location,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
        Denmark,0.795141138,0.80097015,0.780136844,0.735903376,0.748951153,0.817717614,0.785509038,0.82433899,0.873294201,0.88264092,0.979253022,0.926171194,0.90425338,0.887090188,0.865629641,0.877287021,0.845477694,0.883390247,0.857020642,0.837142329,0.891680377,0.86883363,0.836382594,0.786023421,0.825001159,0.785416814,0.746176226,0.760114535,0.734182618,0.724347215,0.736848728
        Djibouti,0.00971641,0.00992811,0.009725206,0.022855789,0.023482312,0.023482312,0.023776751,0.023923487,0.02457253,0.024343055,0.024409748,0.02457253,0.02457253,0.02457253,0.012057651,0.012012843,0.012047991,0.012497622,0.012155557,0.011494758,0.010741764,0.011180997,0.01250318,0.010857237,0.012364418,0.00933997,0.012324276,0.012721701,0.012943424,0.011380872,0.010371438
        Dominica,0.000638999,0.000840802,0.000896485,0.000896569,0.000896089,0.000896633,0.000896773,0.000894601,0.001140597,0.001416996,0.001420873,0.00142593,0.001496989,0.001548927,0.001805983,0.001933484,0.001822092,0.002032755,0.00240821,0.002307709,0.00230118,0.002780198,0.002503081,0.002546634,0.002663155,0.002697873,0.002591289,0.00258853,0.002671408,0.002774703,0.002901277
        Dominican Republic,0.108598434,0.119289908,0.132197513,0.128587481,0.138733682,0.134099472,0.143400585,0.134474328,0.146293566,0.157910375,0.171617288,0.181517001,0.187892447,0.213401612,0.293787076,0.285568896,0.301608288,0.276742664,0.257945146,0.282818892,0.282487017,0.290483188,0.288733062,0.285293317,0.299140758,0.294335675,0.326760177,0.311962233,0.299517625,0.332147486,0.35322455
        Ecuador,0.236825075,0.233787579,0.241755746,0.236778954,0.252807874,0.265933945,0.296282202,0.287186068,0.312555314,0.306893868,0.332554966,0.342081242,0.350580702,0.336453145,0.369084554,0.392478623,0.399895432,0.414144045,0.450205599,0.477770397,0.505176092,0.534545575,0.558170824,0.575202052,0.597347644,0.617201394,0.641528199,0.654639344,0.711025284,0.690748244,0.683090373
        Egypt,1.240848735,1.29017712,1.303743657,1.345306561,1.42127738,1.423717896,1.426826121,1.514266024,1.59364994,1.635985663,1.770430565,1.832110525,1.895635943,1.941240427,2.005683318,2.243177046,2.234986726,2.439687145,2.629627244,2.751333151,2.91683871,3.097569537,3.212003352,3.364374296,3.503927751,3.619801374,3.776498886,3.739574363,3.727103457,3.732656448,3.769384152
        El Salvador,0.048091537,0.046864737,0.051121721,0.051727029,0.053631217,0.053006992,0.059988619,0.062162863,0.068054039,0.084745972,0.086685209,0.086041776,0.098092036,0.103608796,0.100326051,0.104176781,0.106705905,0.113849272,0.113542825,0.117468931,0.124157437,0.129454501,0.12592556,0.121477994,0.125944033,0.12587725,0.126750205,0.123676343,0.126370326,0.13088249,0.131992852
        Equatorial Guinea,0.001057419,0.001097948,0.001100603,0.001735811,0.001735751,0.001735819,0.001740224,0.001735565,0.001735579,0.001735466,0.00174022,0.001958199,0.002697647,0.002697751,0.005266565,0.005975229,0.053281592,0.05583337,0.012401737,0.057940042,0.058611582,0.066181511,0.066491643,0.06830676,0.069181652,0.070659524,0.069698499,0.066866298,0.064748065,0.05789462,0.059359087
        Eritrea,--,--,--,--,--,--,--,--,0.013251873,0.015181153,0.015516753,0.015686914,0.01665834,0.017290551,0.008868974,0.00971577,0.0088588,0.010617945,0.011563278,0.011570615,0.007958161,0.008172143,0.005819645,0.007035998,0.007033851,0.007162926,0.007612387,0.007762444,0.00810656,0.008039024,0.008182928
        Estonia,--,--,--,--,--,--,0.115816,0.094584735,0.088650338,0.079035418,0.086668923,0.094421417,0.113309819,0.087634098,0.083194011,0.094412385,0.07824469,0.075780053,0.083468754,0.0861186,0.094589823,0.092330001,0.096263553,0.084824002,0.080752541,0.078226539,0.097331392,0.090456115,0.086320228,0.090398854,0.088176736
        Eswatini,0.010098553,0.011186717,0.011305945,0.012137305,0.011798917,0.012704298,0.01179217,0.01174945,0.01521872,0.014900666,0.014246371,0.016297177,0.016345404,0.016340273,0.019313166,0.019720175,0.020315827,0.01868127,0.018094807,0.019183947,0.018615987,0.019643971,0.020177219,0.019665826,0.019620476,0.020062213,0.02035854,0.019336988,0.020845597,0.021378511,0.022171155
        Ethiopia,0.044629041,0.050147917,0.049220197,0.051756831,0.05280762,0.045784098,0.061591266,0.058930359,0.044143005,0.047358132,0.039763189,0.040068632,0.05211376,0.061804941,0.065870002,0.071720435,0.073686431,0.079697439,0.08521532,0.097855035,0.107383775,0.118866531,0.124444722,0.128999097,0.143027773,0.16196464,0.179452031,0.209569657,0.23744768,0.250175226,0.289190803
        Falkland Islands,0.00017063,0.00017063,0.00029693,0.000425225,0.000212613,0.000212613,0.000213195,0.000212613,0.000212613,0.000425225,0.000257024,0.000469037,0.000256425,0.000256442,0.000392819,0.000436273,0.000480102,0.000523557,0.000567386,0.000567386,0.000654669,0.000654669,0.000674377,0.000674189,0.000646846,0.000639018,0.000660445,0.00066062,0.000660403,0.000702871,0.000726088
        Faroe Islands,0.007613705,0.007883495,0.008293374,0.009103902,0.00994076,0.009174274,0.00924637,0.009025724,0.009269796,0.009926603,0.009927724,0.009944653,0.009964079,0.009884537,0.010959986,0.012068451,0.011820392,0.011770188,0.012088924,0.011842002,0.011733464,0.012225155,0.011313543,0.010493907,0.010901594,0.010419278,0.010639892,0.011585926,0.010876291,0.011636609,0.011590424
        Fiji,0.017572792,0.01507268,0.014954962,0.01704239,0.018521864,0.016187683,0.016732291,0.017599164,0.018090883,0.019459579,0.019931693,0.019869863,0.019288604,0.020949174,0.026442581,0.027486066,0.023279144,0.025529298,0.033812552,0.028943579,0.031714413,0.030581082,0.020419264,0.020958037,0.019519612,0.035083628,0.021732067,0.026027908,0.031351585,0.03857459,0.038040399
        Finland,0.997003272,1.075470715,1.071785304,1.080946477,1.131552261,1.145012412,1.149936645,1.140533645,1.194967843,1.139674548,1.156703209,1.177379416,1.232794399,1.221787429,1.236048637,1.251588793,1.262358636,1.319134857,1.345969482,1.265088413,1.334700997,1.341847009,1.311167994,1.213514124,1.297130317,1.237429,1.228373919,1.235924509,1.20172454,1.194103679,1.222997803
        Former Czechoslovakia,3.243007512,3.331229856,3.257795557,3.241996367,3.237900411,2.927000439,2.639151327,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Serbia and Montenegro,--,--,--,--,--,--,0.85328177,0.720572399,0.711086776,0.788887681,0.923170091,0.978598554,0.994250646,0.799223047,0.806856552,0.838213758,0.92361176,0.932500617,0.958660387,0.90414368,--,--,--,--,--,--,--,--,--,--,--
        Former U.S.S.R.,62.48788778,63.8994198,65.99741261,64.96551611,66.15920759,62.12447431,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Yugoslavia,2.818685181,2.876517657,2.892359988,2.903238579,2.791046732,2.574393079,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
