total energy consumption from petroleum and other liquids (quad Btu),1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,2.522126275,2.571449455,2.652796914,2.67365785,3.38855342,3.11331057,3.190327206,3.310666435,3.507212365,3.755538655,4.012347102,4.27541071,4.424202595,4.51341991,4.485033018,4.445431331,4.417579196,4.297271449,4.459103405,4.550029283,4.620906694,4.930463371,5.269750217,5.276100601,5.698197494,5.858226587,6.099145499,6.371987731,6.648106148,6.497555,6.051311
British Virgin Islands,0.000256425,0.000660772,0.000662478,0.000660772,0.000660772,0.000660772,0.000662478,0.000660772,0.000660772,0.000660772,0.000854738,0.000852506,0.000852506,0.000852523,0.001492735,0.001527765,0.001616028,0.001726392,0.001814655,0.0018668,0.002033656,0.002108205,0.002265235,0.002374254,0.002435842,0.00249301,0.002484319,0.002484319,0.00252418,0.00253287,0.002566914
Brunei,0.010927415,0.012234942,0.012269743,0.013678975,0.014282507,0.02142352,0.014411777,0.019077096,0.021533871,0.022379393,0.025875285,0.025803223,0.024801351,0.027352209,0.026423497,0.026370254,0.027331404,0.028190535,0.028388,0.028394265,0.030139836,0.030970793,0.034487647,0.033961641,0.035252375,0.037346536,0.035759201,0.035233359,0.033555771,0.038745025,0.033914
Bulgaria,0.62026056,0.598940545,0.6046686,0.505645085,0.41014466,0.259538725,0.276069042,0.248511345,0.269698135,0.276807605,0.24819741,0.22487358,0.216662552,0.20381089,0.184474286,0.193018044,0.195689749,0.205829023,0.210741167,0.223628999,0.225658843,0.216528538,0.214261684,0.204434101,0.179205507,0.169026298,0.174010923,0.162174283,0.178371523,0.195558794,0.193727
Burkina Faso,0.006886218,0.007191413,0.007541693,0.006759017,0.006863448,0.007913087,0.007933335,0.008547808,0.009329966,0.009329966,0.009776109,0.016118309,0.014738974,0.014738976,0.013543204,0.015376119,0.015892632,0.017515099,0.015530487,0.016487431,0.016391751,0.023502656,0.025530302,0.023894534,0.025511826,0.029349834,0.0348624,0.042193525,0.039385885,0.050896672,0.041377965
Burma,0.036258279,0.033980807,0.034963577,0.034849762,0.031626046,0.032969757,0.034786618,0.034409098,0.03943606,0.038086886,0.040667852,0.051768583,0.061387351,0.076573051,0.081556058,0.065424407,0.065619535,0.075511138,0.076937511,0.075160208,0.076464892,0.07504824,0.058947065,0.048462614,0.055203462,0.051301031,0.093143064,0.123882101,0.189277181,0.149112985,0.178501955
Burundi,0.002077395,0.002214186,0.003539448,0.004047047,0.004260724,0.004894546,0.004501233,0.005105334,0.005317946,0.005105334,0.005349072,0.005334809,0.005547422,0.00554743,0.004535981,0.003503499,0.003140584,0.002490835,0.003127034,0.002488443,0.003096402,0.005264768,0.003037096,0.002948637,0.003326645,0.003947014,0.003509392,0.004124998,0.003374483,0.005380809,0.006478633
Cabo Verde,0.000656591,0.000697174,0.000962817,0.001173256,0.001173256,0.001173256,0.001389207,0.001385869,0.001621436,0.001577146,0.001776453,0.001772181,0.001772181,0.001772203,0.004580373,0.005127608,0.005578808,0.005555068,0.006069799,0.009500648,0.010089382,0.011252743,0.011415082,0.010800055,0.011597074,0.013604306,0.01174821,0.011435103,0.012331241,0.012237048,0.01284193
Cambodia,0.005885443,0.005885443,0.006339193,0.006321873,0.006321873,0.00672622,0.006744648,0.00672622,0.00672622,0.020429598,0.022484515,0.026838341,0.031540161,0.032544824,0.030092389,0.032063444,0.03199497,0.034595933,0.035768513,0.040429957,0.04367855,0.05074542,0.050409183,0.061515816,0.06916634,0.070038992,0.073756188,0.073660415,0.076520885,0.086518368,0.096228
Cameroon,0.045834128,0.042307296,0.040663844,0.049879112,0.050575714,0.050851946,0.05163173,0.04261886,0.046947505,0.048087144,0.046513513,0.048429332,0.04823924,0.04435053,0.046368762,0.045338492,0.047640121,0.049993644,0.050110114,0.04854106,0.05835344,0.06420791,0.06211666,0.072238924,0.079011967,0.08687978,0.080417324,0.062736655,0.086654712,0.082768412,0.0777204
