total energy consumption from petroleum and other liquids (quad Btu),1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nicaragua,0.029005236,0.029229054,0.029882656,0.029229054,0.027984842,0.026772714,0.032154161,0.031947063,0.034119689,0.037260733,0.03956826,0.041417682,0.047593007,0.050550018,0.051393512,0.054470113,0.05396209,0.05682072,0.059379514,0.058450189,0.059688188,0.062661363,0.059675744,0.06112535,0.060904718,0.06527815,0.062011844,0.062475537,0.065504843,0.075351331,0.0741156
Niger,0.005173693,0.00496108,0.008798734,0.008775445,0.009096532,0.009237919,0.009236396,0.009653523,0.009860478,0.009860478,0.010100412,0.01007309,0.01007309,0.010073106,0.007728809,0.007378236,0.007747654,0.008720484,0.009347981,0.008695855,0.008836679,0.010024594,0.011172267,0.013579104,0.017210585,0.016541138,0.024282182,0.029068695,0.025741681,0.028086193,0.025213
Nigeria,0.42377887,0.444330195,0.480757104,0.499193345,0.512626805,0.5273885,0.54111087,0.553773255,0.51848907,0.578634135,0.589037472,0.574784845,0.53648722,0.52391005,0.458981652,0.576145138,0.586461293,0.564263653,0.564356924,0.622087227,0.499472448,0.43155056,0.554174972,0.469434576,0.582799381,0.557718568,0.552385949,0.853832532,0.906598,0.816283,0.841334
Niue,4.34367E-05,4.34367E-05,4.34491E-05,4.34367E-05,4.34367E-05,4.34367E-05,4.34491E-05,4.34367E-05,4.34367E-05,4.34367E-05,4.34491E-05,4.34367E-05,4.34367E-05,4.34545E-05,9.685E-05,9.92537E-05,9.57561E-05,8.98957E-05,8.97174E-05,9.27535E-05,9.18456E-05,8.4767E-05,0.000134064,8.82333E-05,8.22038E-05,9.14044E-05,9.00688E-05,9.68242E-05,0.000100019,0.000108187,0.000104123
North Korea,0.143014535,0.14534579,0.135073069,0.132830551,0.152107946,0.160090095,0.154698303,0.148977145,0.145618733,0.130351882,0.099050539,0.083873885,0.074681026,0.159625221,0.04379277,0.048545024,0.048677172,0.04740843,0.047805448,0.040142091,0.030721718,0.036729426,0.03765243,0.036433291,0.036207771,0.03721366,0.035737308,0.038608669,0.036856003,0.042000085,0.044787946
North Macedonia,--,--,--,--,--,--,0.040824482,0.044870326,0.038229699,0.039010616,0.049332079,0.044331915,0.04719826,0.041874041,0.039434942,0.032427166,0.03677437,0.035196906,0.035940782,0.036784055,0.038147528,0.04198498,0.036918838,0.038842763,0.03787804,0.039138546,0.038901822,0.038631941,0.038391942,0.041980406,0.043131412
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0.406192428,0.404426311,0.390239862,0.378888963,0.399907548,0.379214441,0.380069616,0.389518495,0.400603791,0.416581863,0.44105895,0.44220939,0.445574093,0.446846898,0.420403341,0.438892565,0.433826478,0.458069252,0.434596958,0.445000635,0.456778838,0.483492736,0.452528959,0.453144218,0.443200953,0.438078875,0.432311547,0.42705455,0.413948849,0.417051022,0.418585693
Oman,0.061334673,0.05508664,0.053735315,0.064422391,0.079296798,0.079581498,0.08099558,0.080785012,0.083323719,0.087709865,0.096343201,0.100757032,0.102478282,0.111351002,0.134642393,0.151236817,0.172288481,0.164472524,0.152990259,0.168936972,0.188104428,0.212221653,0.274495593,0.225100362,0.255183521,0.275071244,0.310869317,0.31425712,0.358484292,0.376945824,0.3634958
Pakistan,0.35192643,0.38224552,0.408584466,0.43773136,0.464496445,0.47001999,0.484552524,0.550315975,0.60947189,0.64365487,0.708763758,0.71808348,0.752501155,0.758887195,0.816854298,0.786965923,0.779030287,0.637267143,0.70165976,0.720720557,0.809116955,0.854559789,0.848415018,0.850054616,0.880135094,0.881688142,0.894004119,0.979559745,1.05140892,1.121884008,1.1762242
Palestinian Territories,--,--,--,--,--,--,--,--,--,--,--,0.005769263,0.008975898,0.009785833,0.011947323,0.019579519,0.016838901,0.018607918,0.031450441,0.03964211,0.033061269,0.03405227,0.029909848,0.030610059,0.029987975,0.03335257,0.032390594,0.03603176,0.039448033,0.043966128,0.046576043
Panama,0.14752289,0.154386277,0.150479765,0.146513665,0.155475546,0.154926404,0.159736967,0.156362314,0.176402675,0.187057244,0.160431269,0.167432326,0.185193007,0.112124314,0.192259041,0.206409968,0.195164701,0.203442065,0.198485714,0.198786023,0.220398442,0.205638751,0.24327261,0.23552442,0.269216165,0.268480898,0.29237928,0.288163029,0.295864965,0.315645554,0.3323554
Papua New Guinea,0.030855494,0.03449898,0.032198879,0.032984157,0.033426245,0.03300102,0.032860937,0.032771545,0.032122502,0.032346878,0.032435107,0.033202967,0.031942441,0.031942453,0.038041629,0.045337554,0.048241798,0.055036393,0.063773519,0.060162068,0.060931266,0.066157475,0.066314269,0.070113327,0.066540579,0.041928457,0.07013615,0.075616876,0.079022177,0.073156014,0.0928095
Paraguay,0.022202549,0.02797798,0.026241834,0.034023548,0.032548729,0.029736185,0.033974682,0.035723828,0.041051806,0.046272656,0.038987963,0.041795895,0.048256431,0.05743364,0.04684196,0.048315392,0.051233827,0.05317957,0.053509821,0.049418775,0.05342361,0.05565006,0.057725267,0.059561196,0.067659264,0.06858781,0.07295417,0.071937356,0.075571772,0.092436384,0.1093028
Peru,0.284309815,0.288646745,0.294868266,0.25235443,0.252916895,0.234193855,0.247823724,0.259777435,0.272914515,0.294821085,0.321763044,0.32672318,0.330036285,0.348317675,0.347184165,0.32181908,0.319957322,0.314399605,0.355400547,0.344387338,0.341741902,0.326863456,0.38591572,0.39683547,0.408400132,0.430078662,0.451678312,0.450172258,0.440042885,0.467714851,0.4813578
Philippines,0.336523065,0.403955355,0.417887454,0.48975554,0.49724388,0.49713292,0.55264719,0.6006586,0.635957385,0.68938499,0.719917608,0.767669095,0.80027564,0.77035732,0.736265863,0.718953514,0.687246312,0.6808815,0.690552494,0.641716391,0.610981544,0.62510447,0.634960821,0.593425626,0.641675294,0.607144185,0.636508512,0.662004395,0.708553788,0.845623311,0.8663502
Poland,0.694106975,0.713886636,0.714872951,0.71080032,0.585825792,0.563522436,0.579694117,0.606818702,0.62578281,0.649588254,0.740151664,0.796586132,0.822249934,0.852261348,0.836765147,0.818037586,0.817510385,0.86250329,0.910291123,0.940692962,1.00256818,1.046894367,1.083585688,1.09008173,1.141707862,1.12422565,1.074025707,1.011229742,1.009566955,1.085225354,1.173879582
Portugal,0.411604718,0.400560703,0.423704941,0.523545578,0.5241066,0.524505684,0.583085406,0.548463448,0.556710009,0.599610919,0.57495262,0.611265954,0.67401011,0.696664629,0.688691458,0.68990856,0.710487219,0.672397281,0.679152129,0.699241019,0.62411066,0.635234232,0.604733695,0.56940746,0.563460864,0.52832049,0.47680593,0.47866549,0.473051668,0.484392266,0.486089427
Puerto Rico,0.2235207,0.222256551,0.221255241,0.22273525,0.221018636,0.220839753,0.222869938,0.222754331,0.22368987,0.223408256,0.223177656,0.223303203,0.223407909,0.222133542,0.422254412,0.449793985,0.44589641,0.454838178,0.470376193,0.45335756,0.399916438,0.38277736,0.351145275,0.32615684,0.268209493,0.294009151,0.292809923,0.236592135,0.216271225,0.221025209,0.194675822
Qatar,0.053520453,0.054681125,0.051464651,0.05289438,0.053163382,0.05346447,0.055148002,0.05764237,0.059199788,0.063251215,0.071778749,0.072287438,0.074889094,0.101806202,0.104029323,0.130888925,0.191238708,0.18129207,0.167887716,0.197385598,0.242490703,0.27977977,0.348906857,0.37379042,0.399408876,0.374203233,0.460735192,0.43485828,0.481432136,0.477247353,0.518197
Reunion,0.011264694,0.012748893,0.015229305,0.016514754,0.017278466,0.020344869,0.021009132,0.026675149,0.027705106,0.027300759,0.027375556,0.027300759,0.035113219,0.035113219,0.030489104,0.030614267,0.031380809,0.031876476,0.035734963,0.033818318,0.031403823,0.029944574,0.033607996,0.035165505,0.038453384,0.037488852,0.034527113,0.033226426,0.035005744,0.037172858,0.038425592
Romania,0.6892222,0.727338785,0.707581212,0.73506839,0.82524164,0.595555535,0.53345049,0.52941206,0.473112635,0.519456685,0.546832914,0.5773935,0.52878718,0.442488405,0.447549596,0.49205545,0.473707362,0.457231488,0.467182855,0.461088198,0.446623817,0.453560427,0.442689238,0.391530327,0.392244881,0.378919414,0.390475961,0.376429762,0.376387255,0.376875809,0.405319
Russia,--,--,--,--,--,--,9.32037666,6.84827016,5.552769455,5.837708165,5.678771454,5.43147886,5.154106235,5.282896485,5.328103965,5.36454825,5.313461954,5.319533141,5.286031583,5.335765348,5.534945904,5.487763705,5.740772701,5.521553381,5.934786029,6.283443234,6.381065235,6.686291636,7.139472884,7.001236098,6.910858
Rwanda,0.009513611,0.0094256,0.009363854,0.009638213,0.010268728,0.010475683,0.010504383,0.009645381,0.009857081,0.010048815,0.010076346,0.010048815,0.010048815,0.010048815,0.007779039,0.007735716,0.007709221,0.007603489,0.007648293,0.007583478,0.00766536,0.007806396,0.008031194,0.008330575,0.008979223,0.010109433,0.011067517,0.011855354,0.012271707,0.013595072,0.013694104
Saint Helena,4.34367E-05,8.83874E-05,8.83984E-05,8.83874E-05,8.83874E-05,4.34367E-05,4.34491E-05,4.34367E-05,4.34367E-05,4.34367E-05,4.34491E-05,4.34367E-05,4.34367E-05,4.34545E-05,0.000175546,0.000175289,0.000182785,0.000180843,0.000118045,0.000147334,0.000135697,0.000171927,0.000139921,0.000131572,0.000149168,0.000145937,0.000161661,0.000155076,0.000147213,0.000134,0.000135
Saint Kitts and Nevis,0.000704605,0.000704605,0.000750136,0.000748438,0.000748438,0.001004884,0.001007159,0.001228262,0.001440874,0.001228262,0.001444822,0.001440874,0.001440874,0.001440874,0.002631585,0.002720228,0.002975928,0.002980719,0.003223768,0.003003433,0.003112369,0.003290683,0.003286951,0.003363548,0.003387371,0.003500924,0.003455737,0.003442841,0.003486972,0.003573112,0.003670228
Saint Lucia,0.00179887,0.001961371,0.002503728,0.002497609,0.002497609,0.002497609,0.002503728,0.002497609,0.002949863,0.002949863,0.0029571,0.002949863,0.002949863,0.002949899,0.004998782,0.005420867,0.004898136,0.005420058,0.00543931,0.005610766,0.005659857,0.005851651,0.006014195,0.00586669,0.006131811,0.006223674,0.006194376,0.006178407,0.006238156,0.006271558,0.006338526
Saint Pierre and Miquelon,0.00235233,0.003024068,0.003037163,0.003666759,0.003450505,0.003241493,0.00298473,0.0017009,0.001736042,0.001098205,0.001101107,0.000637838,0.00085045,0.00085045,0.00096006,0.00096006,0.001046969,0.001178686,0.001135231,0.001178686,0.001178686,0.00122214,0.00122214,0.00122214,0.001265595,0.001274286,0.001256904,0.001287322,0.001361465,0.001361465,0.001386152
Saint Vincent/Grenadines,0.000496066,0.000496066,0.000592619,0.00094832,0.000999932,0.00094832,0.001163737,0.00094832,0.001751553,0.001943288,0.001755494,0.0020597,0.002266426,0.002266448,0.002137128,0.002572146,0.002769341,0.002923934,0.003194159,0.003217901,0.003222247,0.003293278,0.003288304,0.004507836,0.003244052,0.002999429,0.003692858,0.002996034,0.003196307,0.0032297,0.003234558
Samoa,0.001419996,0.001419996,0.001423886,0.001824343,0.001824343,0.001824343,0.001637081,0.001824343,0.001824343,0.001824343,0.001829341,0.001824343,0.001824343,0.001824343,0.002376616,0.002478216,0.002521972,0.002606493,0.002617254,0.002696038,0.002823863,0.002981155,0.003057472,0.003183606,0.003223258,0.003343019,0.003352109,0.003363471,0.003428488,0.004752917,0.004340701
Sao Tome and Principe,0.000448159,0.000448159,0.000449283,0.000448159,0.000873384,0.000924997,0.000927279,0.000924997,0.001137609,0.001137609,0.001140474,0.001137609,0.001137609,0.001137634,0.000894568,0.000889918,0.000992925,0.00110331,0.001268197,0.001364072,0.001413936,0.001454993,0.001597751,0.001714191,0.001871873,0.001929453,0.002043149,0.002043149,0.002043149,0.002121745,0.002204316
Saudi Arabia,2.076641585,2.07579515,2.106460662,2.01864783,2.21523099,2.308974305,2.425843974,2.44878208,2.481598135,2.41126884,2.576638536,2.678555785,2.80208018,3.14952733,3.259063187,3.31119033,3.413074624,3.539542752,3.864361902,4.032614926,4.224533442,4.408660834,4.728312817,5.123248578,5.565267171,5.797324306,6.190910172,6.164592836,6.642271142,6.862059,6.546
Senegal,0.039990714,0.040473354,0.034693396,0.035865156,0.035844132,0.033060058,0.040147528,0.04123624,0.049332269,0.05320313,0.053350722,0.049152871,0.052400824,0.057869874,0.065798918,0.071797734,0.069854893,0.069080636,0.073996713,0.076654382,0.075126286,0.079179505,0.082039057,0.075658121,0.079250029,0.083236026,0.080859952,0.083632579,0.091440474,0.108075963,0.1031108
Serbia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.185010569,0.18779187,0.175555412,0.16874498,0.163733594,0.162482617,0.14265086,0.148379891,0.141914755,0.148310841,0.151305224
Seychelles,0.004250286,0.004488684,0.006626962,0.006895916,0.006158822,0.006983177,0.006923969,0.007118121,0.007118121,0.007368909,0.007388514,0.007825777,0.007825777,0.007825795,0.012832913,0.013804398,0.01202066,0.011991086,0.016736342,0.015245006,0.016196687,0.013315694,0.014515323,0.015822009,0.014308475,0.01228582,0.014136646,0.012702458,0.014856894,0.0153926,0.017149333
Sierra Leone,0.012404244,0.013592095,0.01478842,0.014381192,0.01459385,0.015459775,0.011174644,0.011156365,0.010590256,0.012179508,0.012000566,0.012616104,0.012616165,0.012616165,0.00575395,0.007392684,0.00743854,0.007671822,0.008125104,0.006842823,0.009039571,0.008211254,0.007828097,0.008128459,0.008707668,0.011120882,0.012876383,0.015307308,0.016785146,0.013404128,0.013802701
Singapore,0.570389333,0.631441605,0.672706902,0.73045114,0.799982545,0.827187455,0.912292698,0.978936205,1.1280544,1.084196365,1.294145622,1.39271663,1.476540705,1.57225867,1.593320584,1.694387071,1.674034766,1.709307909,1.813648808,1.886871073,2.062501643,2.187390136,2.246851283,2.288253953,2.60676786,2.81286048,2.788160332,2.772991786,2.742243702,2.814014,3.004565
Slovakia,--,--,--,--,--,--,--,0.136618913,0.137941666,0.135678147,0.14393145,0.154478392,0.156226147,0.145513769,0.139097298,0.14712597,0.163966133,0.153310331,0.152804278,0.162991569,0.163519175,0.172284561,0.177131515,0.165965702,0.173583403,0.17215559,0.158029289,0.159597077,0.151310756,0.163827336,0.169314355
Slovenia,--,--,--,--,--,--,0.067869527,0.081651736,0.088302839,0.097283902,0.11452317,0.111321424,0.105982964,0.106593857,0.101553342,0.105373704,0.102297699,0.103764849,0.107033192,0.109374943,0.113400288,0.113005978,0.131933156,0.11222671,0.113484014,0.112712246,0.111263025,0.105620017,0.103637574,0.101499014,0.108242008
Solomon Islands,0.001723834,0.002009336,0.002407773,0.00240206,0.00240206,0.00240206,0.002407773,0.00240206,0.00240206,0.00240206,0.002407773,0.00240206,0.00240206,0.002402081,0.002571884,0.002616692,0.002616692,0.002704955,0.00271147,0.00271147,0.002756279,0.003027003,0.002950233,0.002935394,0.003054784,0.002994448,0.00302098,0.003207827,0.00324332,0.003226688,0.002844771
Somalia,0.020183037,0.014911531,0.014957218,0.015320849,0.013882293,0.008272716,0.007688068,0.00809142,0.00809142,0.00809142,0.008113589,0.00809142,0.00809142,0.008091423,0.010121057,0.010289035,0.011122919,0.011122919,0.011130781,0.011238481,0.01132425,0.011486927,0.011365312,0.011335115,0.011618414,0.011618414,0.011618414,0.011618414,0.011618414,0.012047,0.012265
South Africa,0.725307925,0.719027735,0.714063072,0.7277297,0.782139885,0.82953623,0.849331914,0.82483722,0.841172795,0.860874765,0.877769016,0.896311885,0.916240155,0.952154695,0.938368024,0.937067475,0.973737747,1.005161206,1.033322828,1.037040247,1.025451881,1.20545082,1.266043624,1.206902273,1.217447409,1.353411967,1.287203294,1.320250732,1.25661963,1.327889578,1.2428282
South Korea,1.2553919,1.321116574,1.577096801,1.810911428,2.20374494,2.656641486,3.211747245,3.526899918,3.853297135,4.200129979,4.396409798,4.711018603,3.982799772,4.323680754,4.438430296,4.419856106,4.440161429,4.504547651,4.475127313,4.532829431,4.504029731,4.612653196,4.401534091,4.480875899,4.648181109,4.623659025,4.778017398,4.785627811,4.827264732,5.086478457,5.368483867
South Sudan,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.020346967,0.021522285,0.022266735,0.027286,0.024232
Spain,1.792207769,1.848845696,2.034695429,2.029634437,2.08516795,2.20167123,2.289084543,2.176650343,2.307335361,2.466006966,2.488425912,2.628975238,2.82226108,2.910651777,2.999856641,3.121676943,3.152282498,3.230427863,3.298821718,3.369527721,3.329912315,3.378526224,3.255432053,3.080484585,3.023221546,2.909862051,2.740467475,2.533099475,2.514725119,2.607471918,2.69505513
Sri Lanka,0.067029632,0.077655064,0.072499293,0.066981771,0.073952285,0.072360119,0.076638643,0.086861459,0.095333474,0.099770706,0.114289759,0.127365473,0.128436638,0.136088827,0.16553713,0.161036957,0.167800349,0.166994388,0.178298513,0.184293328,0.181233901,0.184913049,0.181565415,0.17300028,0.185332841,0.212048479,0.228543541,0.196992731,0.219051598,0.229962555,0.261486
Sudan,0.059262313,0.056725417,0.06221795,0.059973734,0.053701465,0.077640975,0.0704367,0.066240967,0.059672354,0.055693416,0.055710434,0.057391834,0.057604446,0.061431617,0.093150246,0.099903755,0.120792418,0.126993877,0.141101824,0.164253031,0.197589999,0.209816679,0.230019067,0.232077603,0.23860002,0.225807415,0.215454293,0.212929778,0.215210101,0.23163283,0.2968946
Suriname,0.018171288,0.015535617,0.017174612,0.018548632,0.022133447,0.020681198,0.019509136,0.020289264,0.020200386,0.020693611,0.020232187,0.021062264,0.021011208,0.021011211,0.021292932,0.020680585,0.023711851,0.020071064,0.023725511,0.023722038,0.026250982,0.02401401,0.029987217,0.030724031,0.03533054,0.028239465,0.033564119,0.031095723,0.032213925,0.030982804,0.028533
Sweden,0.774947224,0.755877222,0.724316676,0.687290286,0.686321532,0.694400664,0.757799727,0.747067384,0.800356474,0.797630674,0.855651603,0.810304361,0.825335421,0.809783628,0.744223691,0.755608523,0.760996768,0.761225114,0.758358041,0.73564318,0.725316454,0.713826773,0.688523685,0.652243054,0.687898175,0.638387336,0.609405449,0.594796958,0.609968893,0.604951182,0.655613882
Switzerland,0.561584638,0.541773907,0.54452412,0.536012367,0.533719537,0.561401144,0.568047921,0.537557729,0.529969621,0.538200058,0.546653839,0.540606541,0.561154692,0.56628098,0.5518869,0.56383191,0.535909046,0.541952175,0.541211929,0.544429025,0.542980327,0.519271782,0.537299652,0.522316975,0.533309609,0.49427835,0.504313538,0.514252841,0.471701534,0.464915672,0.469279749
Syria,0.347597895,0.38047454,0.405913032,0.420767255,0.432466235,0.37171089,0.385153512,0.44086598,0.47516357,0.481140445,0.491509818,0.514042275,0.525791625,0.539860915,0.502740604,0.509077707,0.518297408,0.491305573,0.556239582,0.703594197,0.743327446,0.785332174,0.807150744,0.698178043,0.644956417,0.596805637,0.447720372,0.30347159,0.26443079,0.25392819,0.2472836
Taiwan,0.851844665,0.8796135,1.0239948,1.10338259,1.141523995,1.150676005,1.171387026,1.29437906,1.38726207,1.555721615,1.639792728,1.63451526,1.694734055,1.786027125,1.831740236,1.898655886,1.919720922,2.009188295,2.05314287,2.048610253,2.067719409,2.163998007,2.041949651,2.015182172,2.110935533,1.944766341,1.931787593,1.914765923,1.931904737,1.959118641,2.032498148
Tajikistan,--,--,--,--,--,--,0.040803254,0.031515816,0.024481572,0.026553969,0.030870014,0.033660775,0.038769826,0.055947821,0.0083327,0.011910626,0.013932222,0.012370081,0.014688604,0.012644768,0.015761296,0.021855537,0.022916643,0.02206467,0.023268824,0.024513294,0.029452537,0.033367148,0.041071615,0.039079565,0.042653
Tanzania,0.037908809,0.033248799,0.035573992,0.034510495,0.038330811,0.031809312,0.034969031,0.036187305,0.032653849,0.031826029,0.032126419,0.032245597,0.032879419,0.034355297,0.036054818,0.039929773,0.045836095,0.048935723,0.063161362,0.063865691,0.066598845,0.06341338,0.065493062,0.060475812,0.072119601,0.091261108,0.117310013,0.12262741,0.121319737,0.110655336,0.108708782
Thailand,0.483142835,0.53594483,0.58449834,0.719697875,0.84468665,0.910192105,0.994056366,1.13826491,1.2597391,1.418534175,1.565068338,1.623810175,1.526514315,1.512985225,1.522508433,1.505653569,1.707825387,1.871700141,2.076719837,2.055955051,2.042513877,2.028769468,1.963626609,2.05640134,2.171174461,2.193860709,2.297061899,2.50367141,2.48216966,2.502725,2.598576
The Bahamas,0.032437222,0.036194313,0.033689535,0.038525006,0.040986445,0.036354511,0.03075791,0.032478073,0.036080871,0.043119494,0.04861029,0.047378898,0.053804395,0.047324477,0.05617403,0.057250513,0.059377343,0.041474845,0.045970253,0.044201716,0.051339875,0.05912388,0.057775414,0.04343478,0.045250107,0.039950406,0.046171364,0.042954567,0.042167629,0.0403098,0.042201368
Timor-Leste,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0023855,0.002583076,0.002592068,0.002644516,0.002737274,0.003008348,0.00336633,0.003503897,0.003635614,0.004299131,0.006475917,0.007431916,0.007287,0.007123
Togo,0.00749637,0.007006234,0.007293344,0.008523501,0.008192627,0.014068684,0.010182632,0.007297436,0.008519137,0.008514392,0.008537719,0.008918739,0.008918739,0.013683266,0.013724204,0.012076132,0.0132284,0.016584929,0.016483496,0.015981047,0.013626961,0.014682813,0.018253108,0.035136276,0.032694853,0.029753204,0.026455319,0.027461826,0.028953121,0.031481264,0.031387
Tonga,0.000391297,0.000867727,0.001085061,0.001340408,0.001340408,0.001361523,0.001294553,0.001291731,0.00175547,0.001586691,0.00180324,0.001886969,0.001918613,0.001918646,0.00149509,0.001346621,0.001460142,0.001799039,0.001666132,0.001774258,0.001995766,0.00170861,0.001845121,0.002002684,0.001822789,0.001724913,0.001748405,0.001696758,0.001834027,0.00191068,0.002023912
Trinidad and Tobago,0.046398326,0.041336725,0.036775058,0.042408657,0.040678739,0.042877682,0.044594245,0.043431423,0.050041464,0.044827877,0.042346529,0.045448669,0.043876687,0.046515308,0.069711475,0.067295876,0.074701679,0.09173403,0.088984984,0.104393691,0.102115167,0.107377481,0.10439008,0.100552844,0.095615209,0.098051488,0.089954635,0.106886273,0.100849124,0.103777215,0.108028
Tunisia,0.129282015,0.10805325,0.128282195,0.129634641,0.129838019,0.141914154,0.150366745,0.153276421,0.153934188,0.144275777,0.148761725,0.159002468,0.166004665,0.163246615,0.175573174,0.178986645,0.176034339,0.176672983,0.183704065,0.188512907,0.188688594,0.190959503,0.186447491,0.176511856,0.17572871,0.161028968,0.171553248,0.175459049,0.191534794,0.204249997,0.1934498
Turkey,0.811832108,0.92093687,0.906964359,0.928989733,0.986034908,0.960481561,1.016232379,1.163269502,1.112296517,1.248003191,1.302558778,1.284814614,1.274216897,1.26666159,1.336931302,1.246223884,1.334799638,1.310032519,1.340364077,1.323803484,1.372539142,1.396732688,1.374326466,1.415191722,1.352654187,1.311620904,1.388076358,1.506949849,1.539285433,1.783349338,1.914720036
Turkmenistan,--,--,--,--,--,--,0.15565797,0.137961605,0.127951225,0.125648659,0.125429115,0.13889929,0.122279198,0.112669843,0.185856741,0.186146523,0.210370334,0.218160977,0.225722598,0.229536592,0.229169252,0.232034462,0.237296709,0.22318315,0.243930165,0.251822851,0.26333656,0.281439141,0.305219244,0.295358,0.291725
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0.000189097,0.000189615,0.000189097,0.000208008,0.000208008,0.000986417,0.001047253,0.001394542,0.001433999,0.001477453,0.00173818,0.001998907,0.002346543,0.002498634,0.002520361,0.00260727,0.00260727,0.00260727,0.002628997,0.002824542,0.002911,0.003011
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,0.001626951,0.001626951,0.002311581,0.003885524,0.004098137,0.004098137,0.004108882,0.003885524,0.003885524,0.004098137,0.004108882,0.004098137,0.004098137,0.004098153,0.00414439,0.00414439,0.00414439,0.00414439,0.00414439,0.00414439,0.004238468,0.004238468,0.00425008,0.004238468,0.004956992,0.004238468,0.00425008,0.004238468,0.004238468,0.00423685,0.004235017
U.S. Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Virgin Islands,0.042526461,0.042700868,0.041748512,0.041584401,0.041319855,0.041379979,0.041719328,0.042294392,0.04107325,0.040488976,0.040009495,0.039918749,0.040023997,0.04119201,0.132017404,0.191393671,0.19021955,0.223987681,0.229642104,0.224631748,0.239014743,0.223126669,0.129311754,0.112873924,0.102129341,0.067611568,0.038736843,0.020293257,0.041430528,0.041011346,0.033931448
Uganda,0.009086821,0.007975834,0.012140989,0.011068816,0.011942746,0.01298128,0.013644948,0.014029013,0.014427702,0.014240713,0.014492787,0.014872893,0.016861336,0.016861353,0.019752963,0.020262211,0.020462103,0.021480857,0.022735758,0.028365991,0.033658615,0.040790908,0.040768774,0.044099982,0.050780878,0.053956675,0.051163473,0.053277114,0.064368598,0.064068534,0.066427998
Ukraine,--,--,--,--,--,--,1.736851902,1.22171632,1.056835965,1.008228915,0.806619348,0.76324347,0.747463425,0.76831916,0.532893718,0.602006397,0.616259227,0.638335279,0.637859467,0.645039814,0.652852659,0.7061479,0.676540299,0.65409153,0.617990321,0.587364949,0.528554049,0.48359934,0.491236798,0.445427535,0.488461
United Arab Emirates,0.456015305,0.46162718,0.52075578,0.533129585,0.53317083,0.66069599,0.668961624,0.674645925,0.68764394,0.68811844,0.665777424,0.69570533,0.714175425,0.71844994,0.928124167,1.067294763,1.020178239,1.036895247,1.09151423,1.135296364,1.216799569,1.271304484,1.364870244,1.321843698,1.372669838,1.49051213,1.524673855,1.634640252,1.715176245,1.840557609,1.88663677
United Kingdom,3.364560984,3.287923611,3.470153167,3.541897137,3.645997062,3.695983724,3.736126964,3.750357875,3.748794425,3.712978452,3.797588521,3.700659125,3.660233547,3.695758716,3.611668466,3.56579945,3.540263601,3.579788825,3.653175093,3.703534235,3.679752591,3.574802422,3.534962205,3.347597696,3.312006651,3.223904678,3.143676593,3.093150188,3.103668191,3.184813252,3.244293165
United States,32.2105668,32.88696668,34.24328623,34.23545404,33.56336351,32.8626168,33.55124763,33.68525793,34.5627955,34.45844019,35.67307994,36.17167498,36.83754386,37.85455838,38.29187778,38.23269265,38.29542878,38.94853228,40.44410664,40.57256119,40.22892495,39.99704662,37.62981661,35.75674743,36.4478381,35.83308476,35.04573363,35.70090996,35.97729134,36.74288916,37.18763446
Uruguay,0.049251129,0.056661761,0.071650466,0.068128447,0.066125736,0.061778878,0.067580729,0.073494356,0.068064032,0.063359401,0.07012,0.075827264,0.091314715,0.09996047,0.089660018,0.087217091,0.068287091,0.074428326,0.094180279,0.093893851,0.101739211,0.096499369,0.132679527,0.135368593,0.112196419,0.125973705,0.136381634,0.120207041,0.10684118,0.111418897,0.107823
Uzbekistan,--,--,--,--,--,--,0.40280862,0.372910645,0.36137701,0.3844472,0.3018951,0.29464114,0.30697741,0.29933212,0.296666318,0.289767958,0.287464038,0.297513584,0.277200638,0.220127145,0.214438498,0.192402411,0.184853407,0.189944019,0.168805982,0.155627135,0.139379108,0.129935914,0.121706626,0.111977,0.100265
Vanuatu,0.001647149,0.001455415,0.00188554,0.001651164,0.001651164,0.001380532,0.000724002,0.000722233,0.000722233,0.000722233,0.000724002,0.000722233,0.000722233,0.000722267,0.001303174,0.001451473,0.00138512,0.001625359,0.00130815,0.001308167,0.001213372,0.001967185,0.001939716,0.002241757,0.002268336,0.002630893,0.002170779,0.00208981,0.002388675,0.00222426,0.002270035
