"total energy consumption from nuclear, renewables, and other (quad Btu)",1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Chile,0.122012782,0.129136538,0.12385276,0.105640626,0.134014536,0.145992704,0.188866709,0.19355481,0.191950957,0.222419006,0.211896582,0.210416179,0.173503462,0.149809989,0.212813763,0.241728239,0.252701393,0.248072171,0.245579249,0.28846051,0.307063778,0.258585391,0.271792097,0.291153661,0.238337251,0.254918961,0.2410236,0.24879421,0.284924727,0.300669468,0.308022441
China,0.968357747,1.02063934,1.091193779,1.181305682,1.271434097,1.271641939,1.329613102,1.503424625,1.724862436,1.793404431,1.826432481,1.788266408,1.889502119,2.03017192,2.002905122,2.640356898,2.798027685,2.882353583,3.607036403,4.123112813,4.457170673,4.985812992,6.292353225,7.032450769,8.228293665,8.40562364,10.36688929,11.51837476,13.19615846,14.36861937,15.91970715
Colombia,0.262905656,0.222957935,0.25331381,0.278456201,0.283606976,0.285258577,0.229290057,0.287965371,0.332648472,0.330918704,0.365086012,0.322744975,0.312610459,0.342614904,0.322362271,0.322568888,0.338306276,0.351907939,0.374286066,0.363650489,0.396017648,0.401685596,0.419392128,0.375455386,0.36287892,0.441386432,0.413794431,0.426374862,0.404822439,0.405077719,0.41292192
Comoros,0.000020892,0.000020838,0.000020648,0.000020864,0.000020804,0.000020872,0.000020684,0.000020618,0.000020632,0.000020624,0.00002068,0.000020426,0.000020394,0.000020452,0.000020402,0.000020666,0.000030519,0.0000405,0.00005008,0.000049995,0.000049595,0.00004942,0.00004927,0.0000488,0.00004878,0.00004858,0.000028548,0.000019082,0.00001902,0.000018638,0.000018464
Congo-Brazzaville,0.003208338,0.003370201,0.003461052,0.004307908,0.005092738,0.005202564,0.004722478,0.004035015,0.003672948,0.003980956,0.00507278,0.004964438,0.003886695,0.0032389,0.003865812,0.004273223,0.005352616,0.004657283,0.00465368,0.004935865,0.005052524,0.004813476,0.005143466,0.0046928,0.005114828,0.007700724,0.009383384,0.009298007,0.008947625,0.010070832,0.010308732
Congo-Kinshasa,0.056315141,0.056015338,0.055937755,0.062562781,0.060484607,0.0539272,0.05778967,0.051774013,0.050579092,0.057999928,0.058303568,0.049373246,0.046347626,0.051236714,0.056400627,0.057049082,0.057053109,0.057211114,0.065425784,0.067505113,0.069380647,0.071997616,0.07098194,0.072698536,0.072945136,0.074700504,0.07360002,0.07989759,0.086878948,0.081092207,0.08204632
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-06,9.92E-07,9.88E-07,9.85E-07,9.76E-07,9.76E-07,9.72E-07,9.52E-07,7.6328E-06,0.00001902,0.000037276,0.000055392
Costa Rica,0.03020096,0.031566146,0.031847232,0.0347779,0.035382052,0.037940484,0.041411064,0.04530072,0.045115825,0.040836209,0.045027261,0.054684705,0.05003157,0.060856753,0.06768038,0.070034426,0.073577424,0.073843649,0.079913969,0.079866611,0.080497589,0.082119554,0.085734617,0.085836478,0.086649872,0.086295193,0.088307428,0.085755535,0.087315473,0.098644685,0.0984837
Croatia,--,--,--,--,--,--,0.043986611,0.042528514,0.055531689,0.066481125,0.080628602,0.067888535,0.071995444,0.075398065,0.073217818,0.078330279,0.06521625,0.060818185,0.080013702,0.078879452,0.077120287,0.063100927,0.072719377,0.083566607,0.104156021,0.076055186,0.075795196,0.101639265,0.107911893,0.093325604,0.096287801
Cuba,0.013836488,0.014276782,0.014984407,0.015243736,0.017940053,0.015370976,0.015215911,0.010287825,0.010348297,0.008457417,0.010954477,0.010736019,0.009539801,0.010697649,0.011070865,0.010749508,0.011023693,0.008880681,0.00912081,0.005105031,0.005231221,0.005516228,0.007085106,0.00691284,0.005556992,0.005700353,0.006600847,0.007968788,0.007512545,0.007537968,0.007581476
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.50E-41,0.000009999,0.000009919,0.000029652,0.00014781,0.00030256,0.000702432,0.001729448,0.002445612,0.003138989,0.00295761,0.003699643,0.003905136
Czech Republic,--,--,--,--,--,--,--,0.120161007,0.134809578,0.129698256,0.131639999,0.141646421,0.133832677,0.137165817,0.127181666,0.144909821,0.182850662,0.234775894,0.25091235,0.239861982,0.260487349,0.255069935,0.271715262,0.28662828,0.306020387,0.315968903,0.342344638,0.359201576,0.350120534,0.329133949,0.305630961
Côte d’Ivoire,0.012315834,0.012669504,0.012667548,0.01304,0.013616218,0.012961512,0.010734996,0.011205883,0.011987192,0.018327,0.016888608,0.015887848,0.011875195,0.013347444,0.01358689,0.014469134,0.012076396,0.013839026,0.0136019,0.010559491,0.012308037,0.016088209,0.017636621,0.019649792,0.015141236,0.015679236,0.015483432,0.01304022,0.015713846,0.010587805,0.015618728
Denmark,0.003374419,0.011821417,0.018873635,0.038107979,0.033579452,0.006438706,0.029079947,0.023673021,0.005084326,0.020464492,-0.026429344,0.010448696,0.030621949,0.043255674,0.066151207,0.065463024,0.069437993,0.060327492,0.093316339,0.111986208,0.076902043,0.107486132,0.11400613,0.107693901,0.125310885,0.150450895,0.166511118,0.163408813,0.188125707,0.204171147,0.19444454
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000004758,4.7705E-06,0.000004755,4.6595E-06,0.000004616
Dominica,0.000135798,0.000145866,0.000165184,0.000166912,0.000166432,0.000166976,0.000165472,0.000164944,0.000175372,0.000195928,0.00019646,0.00020426,0.000275319,0.000327232,0.000326432,0.000278991,0.00030519,0.000293625,0.000340544,0.000271973,0.000269797,0.000210529,0.000200036,0.000238144,0.000238046,0.000353662,0.000260738,0.000356833,0.000298614,0.000236703,0.000345277
Dominican Republic,0.00981924,0.01031481,0.00898188,0.006499136,0.004337634,0.006067014,0.005779578,0.011921863,0.005932573,0.006646368,0.009279875,0.007246312,0.007773977,0.011580306,0.008143158,0.007614054,0.009268852,0.012541977,0.016729751,0.019131735,0.017650167,0.017197608,0.013948386,0.014586116,0.014299916,0.015284756,0.018196928,0.021095904,0.015740631,0.01240483,0.018227111
Ecuador,0.04460442,0.046739634,0.048946084,0.050772544,0.051354674,0.0524409,0.050924008,0.059297368,0.067043684,0.052684008,0.06494554,0.066067897,0.065678877,0.07274103,0.076912373,0.0724163,0.07597651,0.075571461,0.078980492,0.07445742,0.082096731,0.100626612,0.113833112,0.095005788,0.08869004,0.11419072,0.118902736,0.109868145,0.11527486,0.127480363,0.149278976
Egypt,0.082190649,0.084669055,0.080283584,0.08216102,0.100011394,0.088092278,0.086818688,0.10662315,0.100960974,0.104024554,0.107732259,0.110786665,0.116335611,0.146907724,0.13034858,0.147895016,0.119961584,0.121657112,0.118299175,0.118348127,0.121511591,0.14919355,0.141370059,0.125384264,0.133612566,0.135042221,0.137250469,0.140880773,0.144375389,0.147766757,0.14625954
El Salvador,0.017139208,0.016312193,0.01788764,0.019490192,0.019416956,0.013354268,0.01458383,0.016267142,0.016840962,0.019550073,0.024017737,0.019946116,0.020786642,0.025117188,0.022799518,0.02433653,0.023108796,0.02664445,0.025823896,0.029041304,0.032173412,0.032368222,0.035597804,0.031233766,0.037272012,0.036541951,0.034917526,0.035880719,0.035728268,0.034574218,0.034903852
Equatorial Guinea,0.000020892,0.000020838,0.000020648,0.000020864,0.000020804,0.000020872,0.000020684,0.000020618,0.000020632,0.000020624,0.00002068,0.000030639,0.000030591,0.000030678,0.000020402,0.000020666,0.000050865,0.000070875,0.000070112,0.000769923,0.000763763,0.000761068,0.000512408,0.00050752,0.000273168,0.000272048,0.00076128,0.002394791,0.00360429,0.003625091,0.00521608
Eritrea,--,--,--,--,--,--,--,--,0,0,0,0.000010213,0.000010197,0.000010226,0.000010201,0.000010333,0.000010173,0.000010125,0.000010016,0.000009999,0.000019838,0.000019768,0.000019708,0.00001952,0.000039024,0.000038864,0.000038064,0.000038164,0.00003804,0.000037276,0.000036928
Estonia,--,--,--,--,--,--,-0.011165235,-0.004624464,-0.003693889,-0.002556646,-0.002912317,-0.003077353,-0.001225994,-0.001919855,-0.002822304,-0.002480495,-0.002029781,-0.00596054,-0.005537479,-0.004334821,-0.001292346,-0.006814951,-0.001256923,0.005567721,-0.000912513,-0.000686725,0.006425165,-1.73655E-05,0.004541842,0.012094598,0.008310264
Eswatini,0.001918546,0.002589077,0.002855856,0.003287344,0.002980024,0.003326156,0.004023688,0.003890778,0.004052556,0.004253512,0.004098972,0.004219226,0.004219356,0.004123078,0.005777599,0.006003478,0.006764869,0.00586835,0.00539298,0.006604901,0.006054851,0.006577752,0.006743772,0.006779996,0.006778544,0.007083408,0.007084704,0.006821425,0.00754667,0.007288192,0.0066105
Ethiopia,0.008576166,0.009231234,0.009869744,0.010369408,0.011317376,0.011448292,0.011655434,0.012896559,0.01382344,0.014581168,0.0154583,0.01583015,0.016203033,0.016453634,0.017127479,0.020841661,0.020834304,0.023338125,0.02549072,0.028577142,0.032544239,0.03355618,0.032775389,0.034769024,0.048393662,0.059910901,0.069887732,0.080368723,0.087464119,0.094390347,0.110622735
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019708,0.00001952,0.00004878,0.000058296,0.000066612,0.000066787,0.00006657,0.000083871,0.000083088
Faroe Islands,0.000511854,0.000510531,0.000640088,0.000740672,0.000769748,0.000772264,0.000858386,0.000752557,0.000784016,0.000783712,0.00073414,0.000776188,0.000795366,0.00071582,0.000775276,0.000785308,0.000986781,0.000891,0.001011616,0.001079892,0.001140685,0.001176196,0.001064232,0.00103456,0.000790236,0.001039612,0.00104676,0.001059051,0.00148356,0.001751972,0.001449424
Fiji,0.003645654,0.003813354,0.003582428,0.003619904,0.004171202,0.004184836,0.004198852,0.004185454,0.004394616,0.00458884,0.00461164,0.00459585,0.004466286,0.00480622,0.005171907,0.005610819,0.005666361,0.00443475,0.004717536,0.004410559,0.004494299,0.00596104,0.005952801,0.005378736,0.004715075,0.005140736,0.00561444,0.005600567,0.00460284,0.004454482,0.005114528
Finland,0.365803613,0.383692631,0.374315685,0.375264752,0.413891959,0.424157628,0.442342847,0.431421872,0.410796612,0.418339727,0.391460863,0.441143768,0.508223246,0.494104612,0.510836011,0.491258892,0.47251957,0.445009297,0.508806472,0.535848394,0.501488366,0.529979897,0.558705473,0.492376594,0.508842975,0.523546275,0.566567909,0.540554848,0.554048227,0.580806891,0.583232125
Former Czechoslovakia,0.221016908,0.263933407,0.270457614,0.2953231,0.314108946,0.286078105,0.290300211,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,--,--,--,--,--,--,0.130746114,0.106830059,0.117326679,0.131838194,0.157929648,0.143940659,0.145998462,0.157105178,0.142431387,0.142380382,0.133502745,0.117876003,0.125743236,0.133011463,--,--,--,--,--,--,--,--,--,--,--
Former U.S.S.R.,3.876428823,4.181352098,4.559909038,4.6136473,4.563295315,4.737949591,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Yugoslavia,0.332545532,0.309603361,0.294108356,0.289400354,0.245015901,0.216507045,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,3.027865147,3.184600409,3.322449512,3.319334019,3.544808396,3.714864275,3.894985899,4.117576536,4.166634127,4.262157154,4.381578803,4.371010233,4.304726965,4.448240191,4.581455969,4.737133001,4.718916751,4.787307003,4.857860207,4.850138716,4.876486418,4.822980933,4.926399827,4.669420829,4.961005033,4.886473983,4.919467003,5.001890222,5.03780598,5.018233355,4.815138537
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00547649,0.005584977,0.005781375,0.005939488,0.006159384,0.006338241,0.006553092,0.006789406,0.00693936,0.007297488,0.006791484,0.00589992,0.005218927,0.00536364,0.005181364,0.004671392
French Polynesia,0.00036561,0.000364665,0.000598792,0.000667648,0.000717738,0.000772264,0.00093078,0.000969046,0.000990336,0.001289,0.00137522,0.001358329,0.001539747,0.000889662,0.001183316,0.001084965,0.001332663,0.00155925,0.001782848,0.001789821,0.0019838,0.002204132,0.002089048,0.00205936,0.002705339,0.002237595,0.002058311,0.001977849,0.001885833,0.001894553,0.002061506
Gabon,0.00694659,0.006959892,0.006906756,0.007229376,0.007291802,0.007388688,0.007404872,0.007329699,0.007716368,0.008167104,0.00795146,0.008252104,0.008269767,0.00848758,0.008181202,0.009051708,0.009369333,0.00909225,0.008924256,0.008109189,0.009353617,0.0079072,0.008799622,0.00921344,0.008848692,0.008180872,0.008678592,0.009586807,0.008912836,0.009732643,0.00999952
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009999,0.000009919,0.000019768,0.000019708,0.000030256,3.21948E-05,3.49776E-05,2.94996E-05,2.95771E-05,0.000029481,2.88889E-05,2.86192E-05
Georgia,--,--,--,--,--,--,0.069898366,0.069805556,0.072399864,0.055744352,0.062402503,0.062008712,0.064429986,0.065903593,0.060281473,0.058071593,0.07011393,0.069478271,0.065843035,0.06805184,0.055897755,0.068769263,0.072030254,0.072018643,0.088949238,0.078062858,0.072118808,0.082632772,0.083144501,0.081700196,0.089363819
